Order ID,Created at,Product Name,Quantity
1001,2026-03-01,Hoodie,5
1001,2026-03-01,Hoodie,5
1002,2026-03-01,T-shirt,2
1003,01-03-2026,Sneakers,3
1004,01/03/2026,Cap,6
1005,02-03-2026,Hoodie,4
1005,02-03-2026,Hoodie,4
1006,2026-03-02,Jeans,7
1007,2026-03-02,Sneakers,2
1008,2026-03-02,Cap,5
1009,03/03/2026,Jacket,3
1010,2026-03-03,T-shirt,6
1011,2026-03-03,Sneakers,2
1012,2026-03-03,Cap,4
1012,2026-03-03,Cap,4
1013,2026-03-04,Hoodie,3
1014,04-03-2026,Jeans,5
1014,04-03-2026,Jeans,5
1015,2026-03-04,Jacket,7
1016,2026-03-04,Cap,2
1016,2026-03-04,Cap,2
1017,2026-03-05,Hoodie,6
1018,05/03/2026,T-shirt,3
1019,2026-03-05,Sneakers,4
1019,2026-03-05,Sneakers,4
1020,2026-03-05,Cap,5
1020,2026-03-05,Cap,5
1021,06-03-2026,Jacket,2
1022,2026-03-06,Jeans,6
1023,2026-03-06,Hoodie,3
1024,07/03/2026,T-shirt,7
1025,07-03-2026,Cap,2
